index,satellite position,satellite velocity,satellite acceleration,time,sv
147.0,"[10131926.50469097, -22082473.162651263, -10065702.350558946]","[138.60295356497622, 1771.8349248863715, -2824.9375880871653]","[0.09023578117402223, 0.34631722917279295, 0.2206399539540593]",2023-03-02 02:00:00,G25
148.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G26
149.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G27
150.0,"[-22809736.58327159, -12755857.152570631, 4594608.703589411]","[-307.20788873056233, -3619.4477276015796, -3108.98870624882]","[-0.16248841901472338, 0.24913495009581998, -0.09804942427684407]",2023-03-02 02:00:00,G28
151.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G29
152.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G30
153.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G31
154.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G32
155.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G01
156.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G02
157.0,"[-16212851.200506065, -2540663.4014796745, -20931674.197637837]","[-924.4549251911857, -2934.410647345332, 996.1133147992578]","[-0.17079548070475029, 0.17512424323992698, 0.44340183408677464]",2023-03-02 04:00:00,G03
158.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G05
159.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G06
160.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G07
161.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G08
162.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G09
163.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G10
164.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G11
165.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G12
166.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G13
167.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G14
168.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G15
169.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G16
170.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G17
171.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G18
172.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G19
173.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G20
174.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G21
175.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G22
176.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G23
177.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G24
178.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G25
179.0,"[1568182.454000635, -21898249.274468355, -14676529.002896702]","[1074.6299476955671, 378.0379238386731, -2276.303351846748]","[0.029533988578115875, 0.20075339598749492, 0.3176908327377873]",2023-03-02 04:00:00,G26
180.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G27
181.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G28
182.0,"[888662.6475839093, -19189114.77985201, 18292565.11677115]","[1668.9848110081637, -167.0442014749159, -1791.6714275934057]","[-0.03861254698506545, 0.0643046387230972, -0.3906802843413688]",2023-03-02 04:00:00,G29
183.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G30
184.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G31
185.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 04:00:00,G32
186.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G01
